relative_path,file_name,extension,format,size_bytes,size_mb,sha256,encoding,delimiter,line_count,data_row_count,column_count,field_names,field_names_redacted,table_theme,duplicate_rows,notes
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_DFCI-ONCOPANEL-3.txt,data_gene_panel_DFCI-ONCOPANEL-3.txt,.txt,delimited_text,2655,0.0025,592eae09646118a5d4994f754e6947665988ff9200ddef473e62444c3f617184,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_MSK-IMPACT341.txt,data_gene_panel_MSK-IMPACT341.txt,.txt,delimited_text,2055,0.002,1d3fd04ef4538e47f2dd4279ead856047f3e8ecfbe8684c61a6e088a7bf1ea2d,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_MSK-IMPACT410.txt,data_gene_panel_MSK-IMPACT410.txt,.txt,delimited_text,2501,0.0024,38b55ecada2e9d6a8a188ca4c6e125c95779c3501d625fd37300e6cc6bab4e60,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_MSK-IMPACT468.txt,data_gene_panel_MSK-IMPACT468.txt,.txt,delimited_text,2847,0.0027,7aff187218d4b49ecebc778cabceecfc3fea8499687c4431bd903eea2fb68839,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_UHN-48-V1.txt,data_gene_panel_UHN-48-V1.txt,.txt,delimited_text,330,0.0003,1838d16d32b71f0e3756ce33390e16e90232a4f07876975365ac164af59b5957,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_UHN-50-V2.txt,data_gene_panel_UHN-50-V2.txt,.txt,delimited_text,340,0.0003,0a94fb9aaf0dcd7f094e416d3802593a7281431f4b6fd4f4fa14975c9e03970b,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_UHN-555-PAN-GI-V1.txt,data_gene_panel_UHN-555-PAN-GI-V1.txt,.txt,delimited_text,3290,0.0031,99313006e44693c70e0a3936e17f35eacc512f44eee9e622e4e4213a10a2d78f,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_UHN-555-V1.txt,data_gene_panel_UHN-555-V1.txt,.txt,delimited_text,3276,0.0031,ebceb14e14b9310ccca3911bda70bfe3dfe88efd52299497dcd9920666cae33a,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_UHN-OCA-V3.txt,data_gene_panel_UHN-OCA-V3.txt,.txt,delimited_text,901,0.0009,ea0166ee9e3ecc8be2ee75196fd7a240903305aa57a52b38cb1dbc5cb82e3aa9,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_VICC-01-T5A.txt,data_gene_panel_VICC-01-T5A.txt,.txt,delimited_text,1950,0.0019,eba0222e5e91b01bc7be3dcaed50d17a6f24bf20789b1640bf287c518adf4921,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_panel_VICC-01-T7.txt,data_gene_panel_VICC-01-T7.txt,.txt,delimited_text,2566,0.0024,bb1f1b33d0a9623890caf9dee911fbaa2a67dcb5a6cec1e6e706c82420463991,utf-8-sig,colon,3,3,2,key|value,false,genomic,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,data_mutations_extended.txt,.txt,delimited_text,2583240,2.4636,668f999ce888385157157b1f522633fc9d2089009353f557f3280d85d9f1dc31,utf-8-sig,tab,7912,7911,64,Hugo_Symbol|Entrez_Gene_Id|Center|NCBI_Build|Chromosome|Start_Position|End_Position|Strand|Consequence|Variant_Classification|Variant_Type|Reference_Allele|Tumor_Seq_Allele1|Tumor_Seq_Allele2|dbSNP_RS|dbSNP_Val_Status|Tumor_Sample_Barcode|Matched_Norm_Sample_Barcode|Match_Norm_Seq_Allele1|Match_Norm_Seq_Allele2|Tumor_Validation_Allele1|Tumor_Validation_Allele2|Match_Norm_Validation_Allele1|Match_Norm_Validation_Allele2|Verification_Status|Validation_Status|Mutation_Status|Sequencing_Phase|Sequence_Source|Validation_Method|Score|BAM_File|Sequencer|t_ref_count|t_alt_count|n_ref_count|n_alt_count|HGVSc|HGVSp|HGVSp_Short|Transcript_ID|RefSeq|Protein_position|Codons|Exon_Number|gnomAD_AF|gnomAD_AFR_AF|gnomAD_AMR_AF|gnomAD_ASJ_AF|gnomAD_EAS_AF|gnomAD_FIN_AF|gnomAD_NFE_AF|gnomAD_OTH_AF|gnomAD_SAS_AF|FILTER|Polyphen_Prediction|Polyphen_Score|SIFT_Prediction|SIFT_Score|SWISSPROT|n_depth|t_depth|Annotation_Status|mutationInCis_Flag,false,genomic,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_sv.txt,data_sv.txt,.txt,delimited_text,66708,0.0636,17bfaaf9dc4cb4e8066d625521485c58479cc103dcd1a70e83df025c5fa03271,utf-8-sig,tab,237,236,40,Center|Sample_Id|SV_Status|Site1_Hugo_Symbol|Site2_Hugo_Symbol|Site1_Ensembl_Transcript_Id|Site2_Ensembl_Transcript_Id|Site1_Entrez_Gene_Id|Site2_Entrez_Gene_Id|Site1_Region_Number|Site2_Region_Number|Site1_Region|Site2_Region|Site1_Chromosome|Site2_Chromosome|Site1_Contig|Site2_Contig|Site1_Position|Site2_Position|Site1_Description|Site2_Description|Site2_Effect_On_Frame|NCBI_Build|Class|Tumor_Split_Read_Count|Tumor_Paried_End_Read_Count|Event_Info|Breakpoint_Type|Connection_Type|Annotation|DNA_Support|RNA_Support|SV_Length|Normal_Read_Count|Tumor_Read_Count|Normal_Variant_Count|Tumor_Variant_Count|Normal_Paired_End_Read_Count|Normal_Split_Read_Count|Comments,false,genomic,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_cancer_diagnosis.txt,data_timeline_cancer_diagnosis.txt,.txt,delimited_text,146878,0.1401,8ee6be9902f74f3c31daf64318bb97bcdf2c8f69f201d969cec3bc3a07fad0f8,utf-8-sig,tab,1390,1389,13,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|AGE_DX|CA_HIST_ADENO_SQUAMOUS|CA_HISTOLOGY|CA_N_REGIMENS|CANCER_NO|CA_TX_PRE_PATH_STAGE|CA_D_TYPE|INDEX_CANCER|STAGE_DX,false,diagnosis_or_cancer,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_imaging.txt,data_timeline_imaging.txt,.txt,delimited_text,2005821,1.9129,2fc9ea80e6fab1d5a839ec17e9d3fae9808e1bf5ca1484317dcb66f5c3bb9875,utf-8-sig,tab,14521,14520,10,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|CANCER_STATUS|CURATED_CANCER_STATUS|IMAGE_SCAN_TYPE|INSTITUTION|SCAN_NUMBER|SCAN_SITES,false,outcome_or_followup,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_labtest.txt,data_timeline_labtest.txt,.txt,delimited_text,1082132,1.032,50756b267ad6e2e6cdf9fa0c6a2ac37641714febae856be9306c6252f602a0b9,utf-8-sig,tab,17719,17718,9,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|TM_NORMAL_RANGE_UPPER|RESULT|TM_NUMBER|TM_RESULT_UNITS|TEST,false,outcome_or_followup,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_medonc.txt,data_timeline_medonc.txt,.txt,delimited_text,2609913,2.489,fb35ac18201233eb8efdd8c380e05b8d0d95e6bb909623013f9e87d5006804ee,utf-8-sig,tab,15871,15870,8,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|CANCER_STATUS|CURATED_CANCER_STATUS|CANCER_SUBTYPE_CURATED|VISIT_NUMBER,false,treatment,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_pathology.txt,data_timeline_pathology.txt,.txt,delimited_text,235802,0.2249,761b446d17f8c12cbb5768dcbae142493632ca7eeabf6ef4d88b82503813683c,utf-8-sig,tab,3533,3532,13,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|N_SPECIMEN_INSITU|N_SPECIMEN_INV|PATH_CA_INV_ANY|PATH_INSITU_ANY|PATH_PROC_NUMBER|PATH_PROC_TYPE|PATH_REP_NUMBER|PDL1_POSITIVE_ANY|PDL1_TESTING,false,待确认,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,data_timeline_sample_acquisition.txt,.txt,delimited_text,83378,0.0795,af424d30b9331eff62ae551fca4f820e50769b5255ab8247cd1532f4b6df087f,utf-8-sig,tab,1131,1130,8,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|CA_SEQ|SAMPLE_ID|CPT_NUMBER|PATH_PROC_NUMBER,false,sample_or_ngs_test,0,
