t0_definition,definition_label,usable_patients,raw_patients,confirmed_pdac_compatible,advanced_before_possible_t0,interpretable_ngs_report_time,definition_matching_t0_regimen,prior_treatment_reconstructable,post_t0_evaluable_outcome,main_exclusion_counts,caution
A,First new regimen after NGS report; report_day < regimen_start_day,566,1109,1067,881,854,566,566,566,non_pdac=42; no_advanced_evidence=186; no_usable_ngs_time=27; no_definition_t0=288; prior_unreconstructable=0; no_post_t0_outcome=0,Counts are feasibility estimates only; do not select t0 definition without manual review.
B,First new regimen after or on NGS report day; report_day <= regimen_start_day,568,1109,1067,881,854,568,568,568,non_pdac=42; no_advanced_evidence=186; no_usable_ngs_time=27; no_definition_t0=286; prior_unreconstructable=0; no_post_t0_outcome=0,Counts are feasibility estimates only; do not select t0 definition without manual review.
C,First regimen with NGS report available before start; report_day < first_regimen_start_day,50,1109,1067,881,854,50,50,50,non_pdac=42; no_advanced_evidence=186; no_usable_ngs_time=27; no_definition_t0=804; prior_unreconstructable=0; no_post_t0_outcome=0,Counts are feasibility estimates only; do not select t0 definition without manual review.
